"Kind","Name","PercentLackOfCohesion","CountClassCoupled","SumCyclomatic","MaxNesting","CountClassDerived","CountClassBase","MaxInheritanceTree"
"Public Constructor","org.repodriller.domain.DiffLine.DiffLine",,,1,0,,,
"Public Method","org.repodriller.domain.DiffLine.equals",,,9,2,,,
"Public Method","org.repodriller.domain.DiffLine.getLine",,,1,0,,,
"Public Method","org.repodriller.domain.DiffLine.getLineNumber",,,1,0,,,
"Public Method","org.repodriller.domain.DiffLine.getType",,,1,0,,,
"Public Method","org.repodriller.domain.DiffLine.hashCode",,,3,0,,,
"Public Method","org.repodriller.domain.DiffLine.toString",,,1,0,,,
"Public Enum Type","org.repodriller.domain.DiffLineType",,1,0,0,0,1,1
"Public Implicit Method","org.repodriller.domain.DiffLineType.valueOf",,,0,,,,
"Public Implicit Method","org.repodriller.domain.DiffLineType.values",,,0,,,,
"Public Class","org.repodriller.domain.DiffParser",25,6,8,2,0,1,1
"Public Constructor","org.repodriller.domain.DiffParser.DiffParser",,,1,0,,,
"Private Method","org.repodriller.domain.DiffParser.extractDiffBlocks",,,5,2,,,
"Public Method","org.repodriller.domain.DiffParser.getBlocks",,,1,0,,,
"Public Method","org.repodriller.domain.DiffParser.getFullDiff",,,1,0,,,
"Public Class","org.repodriller.domain.DiffParserTest",0,7,6,0,0,1,1
"Public Method","org.repodriller.domain.DiffParserTest.additionsAndDeletions",,,1,0,,,
"Public Method","org.repodriller.domain.DiffParserTest.extractLineNumbersAndContentInOldAndNewFile",,,1,0,,,
"Public Method","org.repodriller.domain.DiffParserTest.onlyAdditions",,,1,0,,,
"Public Method","org.repodriller.domain.DiffParserTest.onlyDeletions",,,1,0,,,
"Public Method","org.repodriller.domain.DiffParserTest.realExampleLargeFileWithMultipleDiffBlocks",,,1,0,,,
"Public Method","org.repodriller.domain.DiffParserTest.tabsEnters",,,1,0,,,
"Public Class","org.repodriller.domain.Modification",76,4,18,2,0,1,1
"Public Constructor","org.repodriller.domain.Modification.Modification",,,4,2,,,
"Public Method","org.repodriller.domain.Modification.fileNameEndsWith",,,1,0,,,
"Public Method","org.repodriller.domain.Modification.fileNameMatches",,,1,0,,,
"Public Method","org.repodriller.domain.Modification.getAdded",,,1,0,,,
"Public Method","org.repodriller.domain.Modification.getDiff",,,1,0,,,
"Public Method","org.repodriller.domain.Modification.getFileName",,,3,1,,,
"Public Method","org.repodriller.domain.Modification.getNewPath",,,1,0,,,
"Public Method","org.repodriller.domain.Modification.getOldPath",,,1,0,,,
"Public Method","org.repodriller.domain.Modification.getRemoved",,,1,0,,,
"Public Method","org.repodriller.domain.Modification.getSourceCode",,,1,0,,,
"Public Method","org.repodriller.domain.Modification.getType",,,1,0,,,
"Public Method","org.repodriller.domain.Modification.toString",,,1,0,,,
"Public Method","org.repodriller.domain.Modification.wasDeleted",,,1,0,,,
"Public Class","org.repodriller.domain.ModificationTest",0,5,2,0,0,1,1
"Public Method","org.repodriller.domain.ModificationTest.shouldGetAddsAndRemoves",,,1,0,,,
"Public Method","org.repodriller.domain.ModificationTest.shouldGetNameOfFileEvenWhenDeleted",,,1,0,,,
"Public Enum Type","org.repodriller.domain.ModificationType",,1,0,0,0,1,1
"Public Implicit Method","org.repodriller.domain.ModificationType.valueOf",,,0,,,,
"Public Implicit Method","org.repodriller.domain.ModificationType.values",,,0,,,,
"Package","org.repodriller.filter",,,0,0,,,
"Package","org.repodriller.filter.commit",,,15,0,,,
"Public Interface","org.repodriller.filter.commit.CommitFilter",0,1,0,0,5,0,0
"Abstract Method","org.repodriller.filter.commit.CommitFilter.accept",,,0,0,,,
"Public Class","org.repodriller.filter.commit.NoFilter",0,1,1,0,0,2,1
"Public Method","org.repodriller.filter.commit.NoFilter.accept",,,1,0,,,
